control_id,control_name,control_family,control_refs,risk_area,practice_applicability,evidence_id,evidence_name,evidence_type,evidence_owner,evidence_provider,accountable_owner,reviewer_needed,evidence_status,freshness_status,last_collected_at,last_reviewed_at,effective_date,cadence,stale_after_days,retention_years,source_systems,acceptable_evidence,unsafe_inputs,linked_answer_packet_ids,next_action
VEL-OFFBOARDING-001,Termination and offboarding evidence,Administrative Safeguards,HIPAA Security Rule - workforce security; HIPAA Security Rule - access termination procedures; CISA CPG - account deprovisioning,Offboarding,small_practice; msp_supported; covered_entity; public_demo,EV-OFFBOARDING-001,Offboarding completion record,checklist and account removal reference,office_manager,msp,owner,office_manager; msp,missing,missing,,,,event_driven,7,6,HR checklist; EHR; email; billing; keys or badges,dated offboarding checklist; account disablement reference; equipment return reference; exception owner and sunset date,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,,"Confirm offboarding checklist ownership and evidence references for accounts, devices, and physical access."
VEL-PRIV-ACCOUNTS-001,Privileged and administrator account inventory,Technical Safeguards,HIPAA Security Rule - access control; HHS HPH CPG - privileged access management; CISA CPG - admin account separation,Privileged Access,small_practice; msp_supported; covered_entity; public_demo,EV-PRIV-ACCOUNTS-001,Administrator account inventory,sanitized admin role list and owner review,msp,msp,owner,msp; technical_reviewer,missing,missing,,,,quarterly,90,6,Microsoft 365; EHR admin portal; RMM; firewall or VPN,admin account list; named account owner; MFA status for admin accounts; shared-account exception register,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-004; READINESS-001; READINESS-002; READINESS-006; VENDOR-EXAMPLE_AI_SCRIBE_VENDOR; VENDOR-EXAMPLE_BILLING_VENDOR; VENDOR-EXAMPLE_IMAGING_VENDOR,"Inventory privileged accounts and document owner, MFA status, and shared-account exceptions."
VEL-VENDOR-REMOTE-001,Vendor and MSP remote access inventory,Technical Safeguards,HIPAA Security Rule - access control; HIPAA Security Rule - business associate contracts; CISA CPG - third-party remote access,Vendor Remote Access,small_practice; msp_supported; covered_entity; public_demo,EV-VENDOR-REMOTE-001,Remote support access inventory,vendor support access list and MSP attestation,msp,msp,owner,msp; vendor; velari_reviewer,missing,missing,,,,quarterly,90,6,RMM; VPN; vendor support tools; EHR support portal,vendor remote access list; support account owner; MFA and approval workflow reference; remote access exception log,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-004; READINESS-001; READINESS-002; READINESS-006; AI-PASTE_PATIENT_LEVEL_NOTE_INTO_PUBLIC_CHATBOT; VENDOR-EXAMPLE_AI_SCRIBE_VENDOR; VENDOR-EXAMPLE_BILLING_VENDOR; VENDOR-EXAMPLE_IMAGING_VENDOR; AI-AI_SCRIBE_PILOT; AI-BILLING_APPEAL_DRAFTER,"Ask the MSP to list vendor support paths, named owners, MFA coverage, and disablement process."
VEL-BREAKGLASS-001,Break-glass account register and last test date,Technical Safeguards,HIPAA Security Rule - emergency access procedure; HHS HPH CPG - account recovery; CISA CPG - resilience planning,Emergency Access,small_practice; msp_supported; covered_entity; public_demo,EV-BREAKGLASS-001,Break-glass account record,sanitized register and test record,msp,msp,owner,msp; owner,missing,missing,,,,quarterly,90,6,EHR; Microsoft 365; RMM; backup console,account purpose and owner; last test date; storage or escrow process reference; access alerting reference,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-004; READINESS-001; READINESS-002; READINESS-006; VENDOR-EXAMPLE_AI_SCRIBE_VENDOR; VENDOR-EXAMPLE_BILLING_VENDOR; VENDOR-EXAMPLE_IMAGING_VENDOR,"Confirm break-glass accounts exist only where needed and have owners, test dates, and monitored use."
VEL-BACKUP-SCOPE-001,Backup configuration and asset coverage,Technical Safeguards,HIPAA Security Rule - data backup plan; HHS HPH CPG - backup and recovery; CISA CPG - data backup,Backup / downtime,small_practice; msp_supported; covered_entity; public_demo,EV-BACKUP-SCOPE-001,Backup scope evidence,backup policy summary and covered asset list,msp,msp,owner,msp; office_manager,missing,missing,,,,quarterly,90,6,EHR export; shared drive; imaging workstation; billing files,backup job summary; covered and excluded asset list; retention setting summary; backup owner attestation,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-005; READINESS-003,Confirm backup coverage for critical systems and document exclusions with an owner.
VEL-BACKUP-RESTORE-001,Backup restore test report,Operational Readiness,HIPAA Security Rule - disaster recovery plan; HIPAA Security Rule - emergency mode operation plan; CISA CPG - test backups,Backup / downtime,small_practice; msp_supported; covered_entity; public_demo,EV-BACKUP-RESTORE-001,Restore test evidence,restore-test note and date observed,msp,msp,owner,msp; office_manager,missing,missing,,,,quarterly,90,6,backup console; EHR export; shared drive; imaging workstation,restore-test date; system tested; recovery owner; limitations and exclusions; private binder reference ID,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-005; READINESS-003,Run or schedule a restore test for critical systems and keep reference-only evidence.
VEL-PATCH-MGMT-001,Patch management report,Technical Safeguards,HHS HPH CPG - vulnerability management; CISA CPG - patch vulnerabilities; NIST Cybersecurity Framework - protect and detect,Patch Management,small_practice; msp_supported; covered_entity; public_demo,EV-PATCH-MGMT-001,Patch status report,sanitized endpoint or RMM patch summary,msp,msp,owner,msp; technical_reviewer,missing,missing,,,,monthly,30,6,RMM; endpoint management; imaging workstation; server or network devices,patch compliance summary; exception list; unsupported asset note; remediation owner and date,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,,"Ask the MSP for patch status, unsupported assets, exceptions, and remediation owners."
VEL-VULN-MGMT-001,Vulnerability scan report and remediation status,Technical Safeguards,HHS HPH CPG - vulnerability management; CISA CPG - vulnerability remediation; NIST Cybersecurity Framework - identify and protect,Vulnerability Management,small_practice; msp_supported; covered_entity; public_demo,EV-VULN-MGMT-001,Vulnerability management evidence,sanitized scan summary and remediation register,msp,msp,owner,msp; technical_reviewer,missing,missing,,,,monthly,30,6,vulnerability scanner; RMM; internet-facing asset review,sanitized scan date and scope; high-risk finding count; remediation status; owner and due date,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,,Confirm scan scope and track remediation status without exporting raw findings into public artifacts.
VEL-EDR-STATUS-001,Endpoint protection or EDR status,Technical Safeguards,HHS HPH CPG - endpoint security; CISA CPG - security monitoring; NIST Cybersecurity Framework - detect,Endpoint Protection,small_practice; msp_supported; covered_entity; public_demo,EV-EDR-STATUS-001,Endpoint protection coverage evidence,sanitized console coverage report or MSP attestation,msp,msp,owner,msp; technical_reviewer,missing,missing,,,,monthly,30,6,endpoint protection console; RMM; workstation inventory,protected endpoint count; missing agent list by asset category; alert owner; remediation notes,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,,"Request endpoint protection coverage for workstations, servers, and critical practice devices."
VEL-LOG-REVIEW-001,Log source inventory and log review record,Technical Safeguards,HIPAA Security Rule - audit controls; HIPAA Security Rule - information system activity review; CISA CPG - logging,Monitoring,small_practice; msp_supported; covered_entity; public_demo,EV-LOG-REVIEW-001,Log source and review cadence evidence,log source inventory and review cadence note,msp,msp,owner,msp; technical_reviewer,missing,missing,,,,monthly,30,6,EHR audit log; Microsoft 365 audit log; firewall or VPN logs; RMM alerts,log source list; review cadence record; alert owner; escalation path; date last reviewed,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-006,"Define log sources, review cadence, alert owner, and escalation route."
VEL-ENCRYPT-DEVICE-001,Encryption and device protection status,Technical Safeguards,HIPAA Security Rule - encryption addressable implementation specification; HHS HPH CPG - endpoint security; CISA CPG - data protection,Device Protection,small_practice; msp_supported; covered_entity; public_demo,EV-ENCRYPT-DEVICE-001,Device encryption and protection evidence,sanitized device protection summary,msp,msp,owner,msp; technical_reviewer,missing,missing,,,,quarterly,90,6,endpoint management; mobile device management; imaging workstation; laptops,encryption status summary; device lock policy; missing device exception list; owner remediation note,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,,"Confirm encryption and device protection status for laptops, workstations, and portable media."
VEL-ASSET-EXPOSURE-001,Asset inventory and internet-facing exposure review,Technical Safeguards,HHS HPH CPG - asset inventory; CISA CPG - asset inventory; CISA CPG - reduce exposure to common attacks,Asset Inventory,small_practice; msp_supported; covered_entity; public_demo,EV-ASSET-EXPOSURE-001,Asset inventory and exposure evidence,asset inventory export and exposure review note,msp,msp,owner,msp; technical_reviewer,missing,missing,,,,quarterly,90,6,RMM; firewall; domain registrar; cloud admin portal,device and system inventory; internet-facing service list; owner and support path; exposure remediation note,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,,Confirm asset inventory and internet-facing exposure without publishing IP addresses or private diagrams.
VEL-VENDOR-INV-001,Vendor inventory with ePHI access flag,Vendor / BAA / AI,HIPAA Security Rule - business associate contracts; HHS HPH CPG - third-party risk management; CISA CPG - supply chain risk management,Vendor / BAA,small_practice; msp_supported; covered_entity; public_demo,EV-VENDOR-INV-001,Vendor inventory evidence,vendor register with ePHI access flag,office_manager,office_manager,owner,office_manager; legal_compliance,missing,missing,,,,quarterly,90,6,vendor register; ePHI flow map; accounts payable vendor list,vendor list; ePHI access flag; service description; business owner; review date,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-004; READINESS-001; READINESS-002; READINESS-006; AI-PASTE_PATIENT_LEVEL_NOTE_INTO_PUBLIC_CHATBOT; VENDOR-EXAMPLE_AI_SCRIBE_VENDOR; VENDOR-EXAMPLE_BILLING_VENDOR; VENDOR-EXAMPLE_IMAGING_VENDOR; AI-AI_SCRIBE_PILOT; AI-BILLING_APPEAL_DRAFTER,"Update the vendor register with ePHI access, owner, and review date."
VEL-BAA-STATUS-001,BAA status and review date,Vendor / BAA / AI,HIPAA Security Rule - business associate contracts; HHS HPH CPG - vendor management,Vendor / BAA,small_practice; msp_supported; covered_entity; public_demo,EV-BAA-STATUS-001,BAA status evidence,"BAA status, review date, and private binder reference",legal_compliance,office_manager,owner,legal_compliance; vendor; velari_reviewer,missing,missing,,,,contract_renewal,365,6,vendor register; contract binder; vendor security portal,BAA status; BAA review date; vendor service scope; private binder reference ID,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-004; AI-PASTE_PATIENT_LEVEL_NOTE_INTO_PUBLIC_CHATBOT; VENDOR-EXAMPLE_AI_SCRIBE_VENDOR; VENDOR-EXAMPLE_BILLING_VENDOR; VENDOR-EXAMPLE_IMAGING_VENDOR; AI-AI_SCRIBE_PILOT; AI-BILLING_APPEAL_DRAFTER,"Confirm BAA status and review date for each vendor that stores, processes, transmits, or accesses ePHI."
VEL-VENDOR-EVIDENCE-001,Vendor security evidence status,Vendor / BAA / AI,HHS HPH CPG - third-party risk management; CISA CPG - supply chain risk management; NIST Cybersecurity Framework - supply chain risk management,Vendor Security Evidence,small_practice; msp_supported; covered_entity; public_demo,EV-VENDOR-EVIDENCE-001,Vendor security evidence status,public evidence or gated proof status label,vendor,vendor,owner,vendor; legal_compliance; technical_reviewer,gated,missing,,,,annual,365,6,vendor security page; vendor trust portal; contract binder,SOC 2 status label; HITRUST status label; vendor security page; gated proof request status; reviewer note,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-004; AI-PASTE_PATIENT_LEVEL_NOTE_INTO_PUBLIC_CHATBOT; VENDOR-EXAMPLE_AI_SCRIBE_VENDOR; VENDOR-EXAMPLE_BILLING_VENDOR; VENDOR-EXAMPLE_IMAGING_VENDOR; AI-AI_SCRIBE_PILOT; AI-BILLING_APPEAL_DRAFTER,Request vendor security evidence status and route private proof to the appropriate reviewer.
VEL-VENDOR-TERMS-001,Vendor incident-notification and retention/deletion terms,Vendor / BAA / AI,HIPAA Security Rule - business associate contracts; HHS HPH CPG - incident response and vendor management; CISA CPG - supply chain risk management,Vendor Terms,small_practice; msp_supported; covered_entity; public_demo,EV-VENDOR-TERMS-001,Vendor incident and data lifecycle terms,contract term summary and reviewer note,legal_compliance,vendor,owner,legal_compliance; vendor,gated,missing,,,,contract_renewal,365,6,contract binder; vendor security portal; vendor questionnaire,incident notice term summary; retention term summary; deletion or export capability note; subcontractor or subprocessor list status,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-004; AI-PASTE_PATIENT_LEVEL_NOTE_INTO_PUBLIC_CHATBOT; VENDOR-EXAMPLE_AI_SCRIBE_VENDOR; VENDOR-EXAMPLE_BILLING_VENDOR; VENDOR-EXAMPLE_IMAGING_VENDOR; AI-AI_SCRIBE_PILOT; AI-BILLING_APPEAL_DRAFTER,"Request incident-notification, retention, deletion, export, and subcontractor term status from each relevant vendor."
VEL-AI-INVENTORY-001,AI tool inventory and allowed/restricted/prohibited workflow decision,Vendor / BAA / AI,HHS HPH CPG - data protection; NIST AI Risk Management Framework - governance; OCR HIPAA guidance on online tracking and regulated data handling,AI Workflow Review,small_practice; msp_supported; covered_entity; public_demo,EV-AI-INVENTORY-001,AI workflow inventory evidence,AI workflow register and owner decision record,office_manager,office_manager,owner,office_manager; legal_compliance; technical_reviewer,missing,missing,,,,quarterly,90,6,AI workflow review; staff guidance; vendor register,AI tool list; workflow decision label; owner signoff; staff no-PHI guidance reference,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,AI-PASTE_PATIENT_LEVEL_NOTE_INTO_PUBLIC_CHATBOT; VENDOR-EXAMPLE_AI_SCRIBE_VENDOR; AI-AI_SCRIBE_PILOT; AI-BILLING_APPEAL_DRAFTER,"Inventory AI workflows and record no-PHI, restricted, or prohibited handling decisions with reviewer routing."
VEL-AI-DATA-USE-001,AI data-use and model-training evidence,Vendor / BAA / AI,HHS HPH CPG - data protection; NIST AI Risk Management Framework - data governance; CISA CPG - data protection,AI Data Use,small_practice; msp_supported; covered_entity; public_demo,EV-AI-DATA-USE-001,AI data-use and model-training terms evidence,"vendor data-use setting, terms summary, or reviewer note",vendor,vendor,owner,legal_compliance; vendor; technical_reviewer,gated,missing,,,,contract_renewal,365,6,AI vendor terms; AI workflow review; vendor trust portal,model-training setting; data retention term summary; deletion/export capability note; human review workflow; reviewer note,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,AI-PASTE_PATIENT_LEVEL_NOTE_INTO_PUBLIC_CHATBOT; VENDOR-EXAMPLE_AI_SCRIBE_VENDOR; AI-AI_SCRIBE_PILOT; AI-BILLING_APPEAL_DRAFTER,"Request AI data-use, retention, model-training, and human-review evidence before expanding restricted workflows."
VEL-PHYSICAL-ACCESS-001,Physical access basics,Physical Safeguards,HIPAA Security Rule - facility access controls; HIPAA Security Rule - workstation security; HHS HPH CPG - physical security basics,Physical Access,small_practice; msp_supported; covered_entity; public_demo,EV-PHYSICAL-ACCESS-001,Physical access review evidence,facility access checklist and owner note,office_manager,office_manager,owner,office_manager; owner,missing,missing,,,,annual,365,6,facility access checklist; key or badge log; workstation area review,key or badge owner list; visitor procedure summary; workstation placement note; after-hours access owner,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-004; READINESS-001; READINESS-002; READINESS-006; VENDOR-EXAMPLE_AI_SCRIBE_VENDOR; VENDOR-EXAMPLE_BILLING_VENDOR; VENDOR-EXAMPLE_IMAGING_VENDOR,"Review keys, badges, visitor handling, and workstation placement with the office manager."
VEL-MEDIA-DISPOSAL-001,Device and media disposal or transfer evidence,Physical Safeguards,HIPAA Security Rule - device and media controls; HHS HPH CPG - asset management; CISA CPG - asset disposal,Device / Media Handling,small_practice; msp_supported; covered_entity; public_demo,EV-MEDIA-DISPOSAL-001,Media disposal or transfer record,sanitized disposal certificate or transfer checklist,office_manager,msp,owner,office_manager; msp,missing,missing,,,,event_driven,30,6,asset inventory; disposal vendor; MSP ticket,disposal or transfer date; device category; wiping or destruction method reference; owner signoff,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,,"Record disposal, transfer, wipe, or destruction evidence when devices or media leave service."
